Ngày đăng,Loại hình,Giá (VND),Giá gốc (VND),Diện tích,Diện tích gốc (m2),Giấy tờ pháp lý,Phòng ngủ,Phòng tắm,Tình trạng nội thất
29/10/2025,alley_house,0.02393684297219232,4080000000.0,0.03544114903935833,23.8,certificate,2.0,2.0,unfurnished
29/10/2025,alley_house,0.030819641270905765,5250000000.0,0.05129639992538705,32.3,certificate,2.0,2.0,unfurnished
29/10/2025,alley_house,0.028760684514880376,4900000000.0,0.07759746315985823,46.4,other,2.0,2.0,unfurnished
29/10/2025,alley_house,0.05688015106859856,9680000000.0,0.10483118821115463,61.0,certificate,4.0,5.0,unfurnished
29/10/2025,alley_house,0.04693833130379025,7990000000.0,0.07312068643909718,44.0,certificate,4.0,4.0,unfurnished
29/10/2025,alley_house,0.03287859802693116,5600000000.0,0.055400111919418016,34.5,certificate,2.0,2.0,unfurnished
29/10/2025,alley_house,0.05287989222832066,9000000000.0,0.13896661070695765,79.3,certificate,2.0,2.0,unfurnished
29/10/2025,alley_house,0.010994829077175581,1880000000.0,0.010632344711807497,10.5,certificate,1.0,1.0,unfurnished
29/10/2025,alley_house,0.04405579184535471,7500000000.0,0.11583659764969223,66.9,certificate,3.0,3.0,unfurnished
29/10/2025,alley_house,0.04346751848649031,7400000000.0,0.07685133370639806,46.0,other,4.0,3.0,unfurnished
29/10/2025,alley_house,0.049938525433998675,8500000000.0,0.06565939190449543,40.0,certificate,3.0,2.0,unfurnished
29/10/2025,alley_house,0.0452323385630835,7700000000.0,0.09520611826151838,55.84,certificate,4.0,2.0,unfurnished
29/10/2025,alley_house,0.0274664831253787,4680000000.0,0.041988434993471366,27.31,certificate,4.0,3.0,unfurnished
29/10/2025,alley_house,0.03923195030266665,6680000000.0,0.07162842753217684,43.2,certificate,5.0,5.0,unfurnished
29/10/2025,alley_house,0.04287924512762591,7300000000.0,0.09102779332214139,53.6,certificate,3.0,3.0,unfurnished
28/10/2025,alley_house,0.03993787833330392,6800000000.0,0.08617795187465024,51.0,certificate,3.0,3.0,unfurnished
28/10/2025,alley_house,0.014642123902134844,2500000000.0,0.011005409438537585,10.7,certificate,2.0,2.0,unfurnished
28/10/2025,alley_house,0.028643029843107497,4880000000.0,0.0727476217123671,43.8,certificate,3.0,3.0,unfurnished
28/10/2025,alley_house,0.026701727758854984,4550000000.0,0.0830069016974445,49.3,certificate,2.0,2.0,unfurnished
28/10/2025,alley_house,0.03140791462977017,5350000000.0,0.093639246409252,55.0,certificate,6.0,6.0,unfurnished
28/10/2025,alley_house,0.03258446134749896,5550000000.0,0.12908039544861033,74.0,certificate,2.0,1.0,unfurnished
28/10/2025,alley_house,0.028760684514880376,4900000000.0,0.10296586457750419,60.0,certificate,2.0,2.0,unfurnished
28/10/2025,alley_house,0.04405579184535471,7500000000.0,0.1025927998507741,59.8,certificate,4.0,3.0,unfurnished
28/10/2025,alley_house,0.04405579184535471,7500000000.0,0.11453087110613691,66.2,certificate,2.0,2.0,unfurnished
28/10/2025,alley_house,0.03317273470636336,5650000000.0,0.08282036933407946,49.2,certificate,4.0,3.0,unfurnished
28/10/2025,alley_house,0.03993787833330392,6800000000.0,0.10445812348442454,60.8,certificate,3.0,4.0,unfurnished
28/10/2025,alley_house,0.06288053932901541,10700000000.0,0.05316172355903749,33.3,other,5.0,4.0,unfurnished
28/10/2025,alley_house,0.035525828141820946,6050000000.0,0.11453087110613691,66.2,certificate,3.0,3.0,unfurnished
28/10/2025,alley_house,0.03746713022607345,6380000000.0,0.06472673008767021,39.5,certificate,3.0,4.0,unfurnished
28/10/2025,alley_house,0.02199554088793981,3750000000.0,0.030218242865137097,21.0,certificate,2.0,2.0,unfurnished
28/10/2025,alley_house,0.01981892946014154,3380000000.0,0.03376235776907292,22.9,certificate,2.0,2.0,unfurnished
28/10/2025,alley_house,0.020818994170211012,3550000000.0,0.027420257414661444,19.5,certificate,3.0,4.0,unfurnished
