Ngày đăng,Loại hình,Địa chỉ,Giá (VND),Diện tích đất (m2),Diện tích sàn (m2),Phòng ngủ,Phòng tắm,Tình trạng nội thất,Giấy tờ pháp lý,Tiêu đề,Mô tả,Lý do loại bỏ,Diện tích
28/10/2025,other,"493/66A Đường Lê Đức Thọ, 16, Gò Vấp, Hồ Chí Minh",7480000000.0,57.6,0.0,0.0,0.0,other,certificate,"Bán - Đất thổ cư 493/66A Đường Lê Đức Thọ, 16, Gò Vấp, Hồ Chí Minh","BÁN LÔ ĐẤT HẺM 8M KINH DOANH – LÊ ĐỨC THỌ, P16 GÒ VẤP 🔥 💎 Diện tích: 4 x 14.4m (CN 57.6m²) 🏠 Kết cấu: đất trống sạch sẽ tiện xây mới 🚗 Hẻm cực đẹp: 1 sẹc, 2 xe hơi tránh nhau, chỉ 200m ra mặt tiền Lê Đức Thọ 🌆 Khu dân cư đông đúc – Kinh doanh đa ngành nghề 💰 Giá bán: 7.48 tỷ",Tin rao bán đất thật,
27/10/2025,alley_house,"65/4 đường Số 2, 16, Gò Vấp, Hồ Chí Minh",4760000000.0,53.57,0.0,4.0,3.0,other,certificate,"Bán - Nhà hẻm 65/4 đường Số 2, 16, Gò Vấp, Hồ Chí Minh","🌸Bán đất tặng ngay căn nhà trệt 2 lầu đúc thật cứng cáp: ✨DT 4.2 X 13 vuông vức. CN 53.57m có thêm khoảng sân 2.5m để xe thoải mái. ✨Vị trí đẹp số 65/4 Đường Số 2, P16 Gò Vấp ( số cũ 55/6 Đường số 2 P16 Gò Vấp) trục đối diện cổng trường Phan Chu Trinh. Cách MT chỉ 2 căn nhà. Nhà nằm ngay khu trung tâm phù hợp cho nhà đông người.  ✨Nhà xây chắc chắn gồm có PK, PB, 4 PN, 3 WC, Mái BTCT có thể làm sân thượng. Xem nhà buổi sáng.",Tin rao bán đất thật,
23/10/2025,other,"đường số 6, Long Trường, 9, Hồ Chí Minh",4600000000.0,80.2,0.0,1.0,1.0,other,certificate,"Chính chủ cần bán lô đất diện tích 80m2, hướng Đông, nằm trên đường số 6, Phường Long Trường, Quận 9.","Chính chủ cần bán đất tại đường số 6, Long Trường, Q.9, TP.HCM – Diện tích: 80.2m2 – Đường trước nhà rộng, ô tô vào tận nơi  – Hướng đất: Đông  – Giá bán: 4,6 tỷ (thương lượng)",Tin rao bán đất thật,
22/10/2025,other,"đường Đinh Nghi Xuân, Bình Trị Đông, Bình Tân, Hồ Chí Minh",7500000000.0,109.4,0.0,1.0,1.0,other,certificate,"Chính chủ cần bán lô đất thổ cư diện tích 109,4m2, nằm trên đường Khu vực 1, Phường Bình Trị Đông, Quận Bình Tân.","Chính chủ cần bán đất thổ cư tại đường Đinh Nghi Xuân, P.Bình Trị Đông, Q.Bình Tân, TP.HCM Diện tích 109,4 m2 (88m2 thổ cư) Giá bán: 7.500.000.000 VNĐ (Bảy tỷ năm trăm triệu, có thể thương lượng).",Tin rao bán đất thật,
21/10/2025,other,"34/17 đường số 34, Linh Đông, Thủ Đức, Hồ Chí Minh",9500000000.0,139.7,0.0,1.0,1.0,other,certificate,"Chính chủ cần bán lô đất thổ cư diện tích 139,7m2, nở hậu 8m, tọa lạc tại đường số 34, Phường Linh Đông, Quận Thủ Đức.","🔹Chính chủ bán đất thổ cư diện tích 139,7m² tại 34/17 Đường số 34, phường Linh Đông, quận Thủ Đức   🟢Diện tích: 139,7m², ngang 4.94m, dài 25.45m, nở hậu 8.19m   🔵Vị trí đắc địa ngay sau trường cao đẳng Vinatex   🛣️Đường trước nhà rộng 6m thuận tiện di chuyển     💰Giá bán: 9,8 tỷ (giảm giá)   🔑Phù hợp để xây dựng nhà ở hoặc đầu tư lâu dài",Tin rao bán đất thật,
20/10/2025,other,"đường Hồ Văn Long, Bình Hưng Hoà B, Bình Tân, Hồ Chí Minh",4050000000.0,50.2,0.0,1.0,1.0,other,certificate,"Cần bán lô đất diện tích 50,2m2 nằm trên đường Hồ Văn Long, Phường Bình Hưng Hoà B, Quận Bình Tân. Giá bán: 4,05 tỷ.","Bán đất diện tích 50,2m2 tại đường Hồ Văn Long, Phường Bình Hưng Hoà B, Quận Bình Tân - Đã có sổ hồng   - Hẻm ô tô vào tận nơi   - Giá bán: 4,05 tỷ  TL",Tin rao bán đất thật,
18/10/2025,other,"555 quốc lộ 13 , Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",52000000000.0,246.8,0.0,0.0,0.0,other,certificate,"Bán - Đất thổ cư 555 quốc lộ 13 , Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh","Bán đất mặt tiền 555 quốc lộ 13, Hiệp Bình Phước, Thủ Đức  Mặt tiền 12m, sâu 35m, thổ cư tổng 246.8m2 Mặt tiền rộng thoáng, phù hợp kinh doanh Thuộc diện đất được đền bù theo dự án Giá bán 52ty TL",Tin rao bán đất thật,
16/10/2025,other,"Huỳnh Tấn Phát, Xã Nhà Bè, Thành phố Hồ Chí Minh",4500000000.0,59.72,0.0,0.0,0.0,other,certificate,Bán - Đất thổ cư ,"Bán đất thổ cư tại đường Huỳnh Tấn Phát, xã Phú Xuân, huyện Nhà Bè, TP. Hồ Chí Minh.  Diện tích: 59.7m2 (6mx10m) KDC cư nhà cao tầng đồng bộ, dân trí cao, xung quanh đầy đủ tiện ích. Pháp lý: Sổ hồng riêng, công chứng trong ngày. Giá bán: 4,5 tỷ. TL",Tin rao bán đất thật,
14/10/2025,other,"252/29/1B Phan Anh, Hiệp Tân, Tân Phú, Hồ Chí Minh",6000000000.0,75.5,0.0,1.0,1.0,other,certificate,"Chính chủ cần bán lô đất thổ cư diện tích 75,5m2, tọa lạc trên đường Phan Anh, phường Hiệp Tân, quận Tân Phú.","Bán đất tại 252/29/1B Phan Anh, P.Hiệp Tân, Q.Tân Phú, TP.HCM 📏 Diện tích: 75,5 m² (ngang 4m x dài 18,88m)   🚗 Đường trước rộng, ô tô vào tận nơi. Hiện trang trước có xây nhà nhưng hiện tại đã phá vỡ 💰 Giá bán: 6 tỷ (có thương lượng)",Tin rao bán đất thật,
14/10/2025,other,"hẻm 87/ Thạnh Xuân 21, KP, Thạnh Xuân, 12, Hồ Chí Minh",4600000000.0,87.5,0.0,1.0,1.0,other,certificate,"Bán đất diện tích 87,5m2 tại đường Thạnh Xuân 21, phường Thới An, Quận 12, giá 4,6 tỷ.","Bán đất tại hẻm 87 đường Thạnh Xuân 21, Phường Thạnh xuân, Quận 12 - Vị trí: kế bên nhà 87/6 thạnh xuân 21 - Diện tích 87,5m2 - Đã có sổ hồng   - Hẻm ô tô, cách Quốc lộ 1A chỉ 1km   - Gần chợ Minh Phát   - Giá bán: 4,6 tỷ",Tin rao bán đất thật,
